Province/State,Country/Region,WHO Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,Sum of Confirmed cases
,Afghanistan,Eastern Mediterranean,33.93911,67.709953,22/01/2020,0,0,0,0,828508482
,Albania,Europe,41.1533,20.1683,22/01/2020,0,0,0,0,
,Algeria,Africa,28.0339,1.6596,22/01/2020,0,0,0,0,
,Andorra,Europe,42.5063,1.5218,22/01/2020,0,0,0,0,
,Angola,Africa,-11.2027,17.8739,22/01/2020,0,0,0,0,
,Antigua and Barbuda,Americas,17.0608,-61.7964,22/01/2020,0,0,0,0,
,Argentina,Americas,-38.4161,-63.6167,22/01/2020,0,0,0,0,
,Armenia,Europe,40.0691,45.0382,22/01/2020,0,0,0,0,
Australian Capital Territory,Australia,Western Pacific,-35.4735,149.0124,22/01/2020,0,0,0,0,
New South Wales,Australia,Western Pacific,-33.8688,151.2093,22/01/2020,0,0,0,0,
Northern Territory,Australia,Western Pacific,-12.4634,130.8456,22/01/2020,0,0,0,0,
Queensland,Australia,Western Pacific,-27.4698,153.0251,22/01/2020,0,0,0,0,
South Australia,Australia,Western Pacific,-34.9285,138.6007,22/01/2020,0,0,0,0,
Tasmania,Australia,Western Pacific,-42.8821,147.3272,22/01/2020,0,0,0,0,
Victoria,Australia,Western Pacific,-37.8136,144.9631,22/01/2020,0,0,0,0,
Western Australia,Australia,Western Pacific,-31.9505,115.8605,22/01/2020,0,0,0,0,
,Austria,Europe,47.5162,14.5501,22/01/2020,0,0,0,0,
,Azerbaijan,Europe,40.1431,47.5769,22/01/2020,0,0,0,0,
,Bahamas,Americas,25.025885,-78.035889,22/01/2020,0,0,0,0,
,Bahrain,Eastern Mediterranean,26.0275,50.55,22/01/2020,0,0,0,0,
,Bangladesh,South-East Asia,23.685,90.3563,22/01/2020,0,0,0,0,
,Barbados,Americas,13.1939,-59.5432,22/01/2020,0,0,0,0,
,Belarus,Europe,53.7098,27.9534,22/01/2020,0,0,0,0,
,Belgium,Europe,50.8333,4.469936,22/01/2020,0,0,0,0,
,Benin,Africa,9.3077,2.3158,22/01/2020,0,0,0,0,
,Bhutan,South-East Asia,27.5142,90.4336,22/01/2020,0,0,0,0,
,Bolivia,Americas,-16.2902,-63.5887,22/01/2020,0,0,0,0,
,Bosnia and Herzegovina,Europe,43.9159,17.6791,22/01/2020,0,0,0,0,
,Brazil,Americas,-14.235,-51.9253,22/01/2020,0,0,0,0,
,Brunei,Western Pacific,4.5353,114.7277,22/01/2020,0,0,0,0,
,Bulgaria,Europe,42.7339,25.4858,22/01/2020,0,0,0,0,
,Burkina Faso,Africa,12.2383,-1.5616,22/01/2020,0,0,0,0,
,Cabo Verde,Africa,16.5388,-23.0418,22/01/2020,0,0,0,0,
,Cambodia,Western Pacific,11.55,104.9167,22/01/2020,0,0,0,0,
,Cameroon,Africa,3.848,11.5021,22/01/2020,0,0,0,0,
Alberta,Canada,Americas,53.9333,-116.5765,22/01/2020,0,0,0,0,
British Columbia,Canada,Americas,53.7267,-127.6476,22/01/2020,0,0,0,0,
Manitoba,Canada,Americas,53.7609,-98.8139,22/01/2020,0,0,0,0,
New Brunswick,Canada,Americas,46.5653,-66.4619,22/01/2020,0,0,0,0,
